2019-08-07 13:35:21,424 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:35:21,768 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:35:22,788 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:35:22,860 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:35:22,867 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:35:22,901 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:35:22,925 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:35:22,957 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:35:22,967 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(186) | 生产者启动,当前模式为[[work模式]]
2019-08-07 13:35:22,967 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(187) | 生产者向交换机 [sendByWork] 发送消息成功
2019-08-07 13:35:22,985 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.getConnection(189) | 获取ＭＱ服务器连接信息
2019-08-07 13:35:23,023 INFO [main] com.sas.utils.rabbitmq.utils.RabbitmqUtil.createChannel(98) | 通道启动初始化成功
2019-08-07 13:35:23,023 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(215) | 生产者启动,当前模式为[[work模式]]
2019-08-07 13:35:23,023 INFO [main] com.sas.utils.rabbitmq.SenderHelper.sendByWork(216) | 生产者向交换机 [sendByWork] 发送消息成功
